Date,Open,High,Low,Close
10/21/2021,2573.0483,2585.7851,2542.6547,2557.0129
10/24/2021,2557.0021,2587.8501,2545.4965,2584.6175
10/25/2021,2588.7532,2672.2515,2588.2381,2672.2515
10/26/2021,2678.8579,2751.4059,2678.0137,2751.0737
10/27/2021,2753.3967,2806.7118,2716.988,2769.131
10/28/2021,2768.8805,2783.7731,2746.2268,2782.1159
10/31/2021,2785.9461,2838.0922,2775.5372,2837.6152
11/1/2021,2852.3186,2866.4402,2804.3132,2819.8669
11/2/2021,2824.826,2845.888,2789.195,2843.622
11/3/2021,2858.7432,2878.2037,2837.5854,2848.8447
11/8/2021,2854.3769,2863.8013,2821.6447,2829.6463
11/9/2021,2831.003,2833.0533,2730.2072,2749.8597
11/11/2021,2750.0289,2750.2799,2687.6834,2690.2909
11/14/2021,2694.0504,2704.4687,2667.3439,2688.9152
11/15/2021,2688.0637,2728.9126,2685.6698,2715.3523
11/16/2021,2720.5901,2784.6334,2715.996,2784.577
11/17/2021,2795.1871,2825.9788,2795.1871,2801.5247
11/18/2021,2806.1334,2810.6448,2760.1993,2769.1341
11/21/2021,2771.759,2780.036,2749.8273,2757.5346
11/22/2021,2758.9899,2778.284,2758.6375,2765.4353
11/23/2021,2765.6795,2765.6795,2719.9852,2733.1221
11/24/2021,2737.0944,2743.2156,2694.061,2735.008
11/25/2021,2736.846,2746.5519,2720.8379,2731.7848
11/28/2021,2731.7848,2733.3547,2644.5993,2651.4937
11/29/2021,2650.5357,2677.8709,2621.7997,2630.0134
11/30/2021,2630.3156,2648.0426,2603.8995,2628.3747
12/1/2021,2628.6857,2649.9914,2628.4824,2633.6576
12/2/2021,2633.637,2645.5694,2580.5985,2586.1911
12/5/2021,2586.8271,2587.5746,2504.6878,2513.8714
12/6/2021,2508.9628,2549.5007,2438.8553,2546.0893
12/7/2021,2549.3616,2590.7594,2505.8554,2508.9082
12/8/2021,2508.2858,2511.6855,2448.7826,2455.817
12/9/2021,2454.4163,2465.0801,2428.3385,2449.9732
12/12/2021,2448.6587,2455.7243,2359.9526,2361.2425
12/13/2021,2351.9306,2351.9306,2259.5188,2281.671
12/14/2021,2283.6726,2418.8491,2283.6726,2418.8491
12/15/2021,2433.2004,2493.078,2379.0973,2414.6227
12/16/2021,2415.7742,2418.8741,2371.7377,2376.7486
12/20/2021,2390.8088,2390.8087,2346.6041,2358.8193
12/21/2021,2360.3285,2415.5587,2360.3285,2415.5521
12/22/2021,2425.0504,2509.2743,2424.3848,2507.7081
12/23/2021,2522.512,2542.2916,2485.3874,2520.2345
12/26/2021,2531.4274,2596.4265,2531.1546,2591.4297
12/27/2021,2600.2116,2616.2769,2518.1607,2521.6579
12/28/2021,2523.865,2533.6336,2486.0519,2518.9964
12/29/2021,2520.5504,2538.7824,2512.4185,2524.505
1/2/2022,2538.2514,2585.0137,2528.752,2584.9119
1/3/2022,2595.2225,2634.8673,2593.9238,2616.942
1/4/2022,2619.2226,2679.9543,2593.9099,2679.9543
1/5/2022,2687.7527,2700.297,2640.974,2649.1826
1/6/2022,2647.7574,2692.7687,2633.3166,2692.4716
1/9/2022,2699.875,2770.5548,2699.875,2765.5184
1/10/2022,2772.093,2806.7442,2755.7925,2784.9503
1/11/2022,2792.6383,2848.2689,2771.152,2834.1353
1/12/2022,2839.8744,2874.8982,2796.6115,2803.6284
1/13/2022,2808.7969,2858.2061,2802.4906,2857.7507
1/16/2022,2873.4154,2940.1291,2873.4154,2926.7495
1/17/2022,2944.9228,2956.1071,2907.1929,2947.4379
1/18/2022,2953.1071,2981.9188,2915.5648,2936.6621
1/19/2022,2945.6254,2952.5731,2889.1859,2898.3138
1/20/2022,2901.5139,2936.5805,2884.0006,2931.3419
1/23/2022,2942.9735,2962.4403,2906.1992,2920.5169
1/24/2022,2926.119,2926.2184,2803.7202,2820.6572
1/25/2022,2827.7543,2857.9197,2781.0139,2815.067
1/26/2022,2817.1685,2819.7421,2760.8843,2776.6511
1/27/2022,2778.8886,2804.0717,2776.7435,2779.9841
1/30/2022,2805.013,2885.6292,2805.013,2885.5332
1/31/2022,2895.772,2909.1314,2860.7014,2872.0509
2/1/2022,2875.7354,2897.1896,2855.9578,2891.3396
2/3/2022,2898.6109,2925.0519,2870.6498,2876.7431
2/6/2022,2877.0402,2877.0402,2829.101,2836.1713
2/7/2022,2834.2646,2853.7823,2822.5266,2851.8802
2/8/2022,2877.5764,2921.3568,2825.9684,2835.5819
2/9/2022,2837.3296,2837.3543,2799.9689,2813.5259
2/10/2022,2813.3345,2825.3463,2790.9035,2801.567
2/13/2022,2783.889,2784.1945,2696.6518,2700.8989
2/14/2022,2697.3744,2729.2685,2694.3122,2700.9829
2/15/2022,2703.3451,2754.5052,2703.2765,2754.2859
2/16/2022,2759.367,2772.1175,2725.1663,2734.4499
2/17/2022,2735.3272,2745.3789,2723.1731,2732.5118
2/20/2022,2713.5193,2715.8262,2669.3276,2693.1099
2/21/2022,2695.2593,2719.072,2693.8382,2718.5181
