Date,Open,High,Low,Close,Percent Change,Volume
2018-12-10,1131.43,1145.61,1131.43,1144.19,1.1,386500000.0
2018-12-09,1121.16,1128.45,1121.1,1131.7,0.97,218708992.0
2018-12-06,1117.97,1126.0,1109.32,1120.84,0.24,338912992.0
2018-12-05,1140.99,1142.06,1117.45,1118.13,-2.09,329556992.0
2018-12-04,1133.0,1142.01,1131.15,1142.01,0.91,363332992.0
2018-12-03,1130.31,1144.0,1128.91,1131.73,0.08,622254976.0
2018-12-02,1148.29,1148.36,1129.89,1130.89,-1.52,451952000.0
2018-11-29,1159.07,1160.42,1148.13,1148.36,-0.92,314926016.0
2018-11-28,1161.5,1162.98,1158.75,1159.08,-0.21,396228000.0
2018-11-27,1159.75,1167.17,1159.75,1161.49,0.14,218848992.0
2018-11-26,1166.59,1167.19,1159.31,1159.82,-0.58,293713984.0
2018-11-25,1181.96,1182.44,1166.01,1166.63,-1.24,244220992.0
2018-11-22,1184.01,1184.92,1181.34,1181.24,-0.11,248907008.0
2018-11-21,1182.17,1182.74,1176.45,1182.55,0.07,227711008.0
2018-11-20,1189.97,1190.15,1181.66,1181.75,-0.72,171414000.0
2018-11-19,1196.08,1196.15,1187.96,1190.2,-0.44,207570000.0
2018-11-18,1203.94,1204.79,1194.18,1195.45,-0.79,319399008.0
2018-11-15,1208.89,1213.63,1205.2,1205.02,-0.32,236074000.0
2018-11-14,1208.28,1209.23,1203.58,1208.89,0.11,178260736.0
2018-11-13,1192.87,1209.1,1191.72,1207.57,1.19,166104000.0
2018-11-12,1204.64,1204.64,1192.22,1193.34,-0.99,132057000.0
2018-11-11,1224.39,1224.39,1205.22,1205.22,-1.42,98566496.0
2018-11-06,1222.53,1222.53,1222.53,1222.53,0.27,33213900.0
2018-11-05,1207.28,1219.75,1205.81,1219.2,0.99,239046000.0
2018-11-04,1220.98,1221.22,1206.48,1207.28,-1.12,280206016.0
2018-11-01,1221.46,1223.76,1217.46,1220.98,-0.04,241964000.0
2018-10-31,1224.36,1224.99,1218.83,1221.46,-0.24,158274000.0
2018-10-30,1216.93,1224.36,1216.0,1224.36,0.61,213728000.0
2018-10-29,1227.49,1227.49,1215.82,1216.93,-0.86,214403008.0
2018-10-28,1241.11,1241.82,1225.38,1227.49,-1.1,300731008.0
2018-10-25,1249.93,1250.3,1240.58,1241.11,-0.71,270716000.0
2018-10-24,1241.84,1250.45,1239.01,1249.93,0.65,218378000.0
2018-10-23,1244.54,1246.22,1238.63,1241.84,-0.22,192782000.0
2018-10-22,1246.52,1248.09,1240.58,1244.54,-0.16,167090000.0
2018-10-21,1241.63,1248.51,1241.15,1246.52,0.39,136048000.0
2018-10-15,1242.43,1246.14,1241.48,1241.63,-0.06,306736992.0
2018-10-14,1228.28,1242.43,1228.16,1242.43,1.15,265802000.0
2018-10-11,1218.33,1228.28,1214.77,1228.28,0.82,231244000.0
2018-10-10,1217.93,1218.86,1213.58,1218.33,0.03,218171008.0
2018-10-09,1220.52,1227.07,1217.06,1217.93,-0.21,336793984.0
2018-10-08,1214.36,1222.78,1213.36,1220.52,0.51,360992992.0
2018-10-07,1227.37,1227.37,1212.88,1214.36,-1.06,378448000.0
2018-10-04,1230.6,1231.84,1221.33,1227.37,-0.26,365169984.0
2018-10-03,1241.36,1242.27,1230.6,1230.6,-0.87,365169984.0
2018-10-02,1238.67,1247.44,1237.53,1241.36,0.22,440748992.0
2018-10-01,1256.71,1258.26,1237.97,1238.67,-1.44,524752000.0
